alpha,rho,num_bs,mean_weighted_sum_rate,std_weighted_sum_rate,mean_gap_to_global,std_gap_to_global
3.0,1.0,37,61.20754000444601,2.3673502173339456,14.965599016780391,1.5889229767549131
3.0,2.0,37,71.64951960658335,1.8168601541339269,4.523619414643054,0.6745155854778602
3.0,3.0,37,74.28519361347165,1.6664792646538975,1.8879454077547635,0.5237072995902199
3.0,4.0,37,75.32287415577588,1.3862958314070313,0.8502648654505229,0.29980821357000526
3.0,5.0,37,75.90362625904652,1.255623757914893,0.2695127621798825,0.19774038349192538
3.6,1.0,37,77.60613478554572,1.4057485708528328,18.588904343059028,1.8636870762661766
3.6,2.0,37,91.42857672292087,3.4371276461846167,4.766462405683875,0.8045650211152793
3.6,3.0,37,94.72047108929142,3.133927972086711,1.4745680393133185,0.3084768678843592
3.6,4.0,37,95.731467872698,3.09256722079968,0.46357125590673576,0.14537749550588597
3.6,5.0,37,96.05895452949723,3.0468187374198394,0.13608459910751236,0.048836325233021054
4.2,1.0,37,93.91774510878685,2.68521217322819,18.76878773819408,1.4916018685107082
4.2,2.0,37,108.01226958980097,1.4197416699900924,4.674263257179973,0.5169023139361204
4.2,3.0,37,111.66807406237665,1.9401865966755,1.018458784604288,0.19330419235148086
4.2,4.0,37,112.34929458860525,1.752513886279814,0.33723825837569166,0.051294669686851216
4.2,5.0,37,112.58015755112575,1.7738422986947833,0.10637529585518735,0.02693345840937899
