trial,label,rho_numeric,rho_label,weighted_sum_rate,runtime_sec,signaling_messages,iterations,gap_to_global
0,global,-1.0,global,26.962637286644764,0.06793950032442808,8400.0,40,0.0
0,non-cooperative,0.0,non-coop,11.28095489631538,0.03059683321043849,0.0,40,15.681682390329383
0,localized-rho1,1.0,rho=1,17.738971751170318,0.03922929195687175,4800.0,40,9.223665535474446
0,localized-rho2,2.0,rho=2,26.962637286644775,0.042595291044563055,8400.0,40,-1.0658141036401503e-14
0,localized-rho3,3.0,rho=3,26.962637286644764,0.04224429093301296,8400.0,40,0.0
1,global,-1.0,global,30.46490989821152,0.04279479198157787,8400.0,40,0.0
1,non-cooperative,0.0,non-coop,16.679223837367505,0.02817145874723792,0.0,40,13.785686060844014
1,localized-rho1,1.0,rho=1,25.07016425309696,0.03670850023627281,4800.0,40,5.394745645114561
1,localized-rho2,2.0,rho=2,30.46490989821151,0.04228270798921585,8400.0,40,1.0658141036401503e-14
1,localized-rho3,3.0,rho=3,30.46490989821152,0.04279391607269645,8400.0,40,0.0
2,global,-1.0,global,30.008923976168052,0.04383424995467067,8400.0,40,0.0
2,non-cooperative,0.0,non-coop,18.862367340333826,0.028675999958068132,0.0,40,11.146556635834227
2,localized-rho1,1.0,rho=1,23.76425030364961,0.03743924992159009,4800.0,40,6.2446736725184415
2,localized-rho2,2.0,rho=2,30.008923976168045,0.04303241707384586,8400.0,40,7.105427357601002e-15
2,localized-rho3,3.0,rho=3,30.008923976168052,0.04273100011050701,8400.0,40,0.0
3,global,-1.0,global,27.31332646532384,0.04381474992260337,8400.0,40,0.0
3,non-cooperative,0.0,non-coop,13.235318939321465,0.028566916938871145,0.0,40,14.078007526002375
3,localized-rho1,1.0,rho=1,25.090715609185366,0.03732079220935702,4800.0,40,2.2226108561384734
3,localized-rho2,2.0,rho=2,27.31332646532384,0.04364287527278066,8400.0,40,0.0
3,localized-rho3,3.0,rho=3,27.31332646532384,0.042882457841187716,8400.0,40,0.0
4,global,-1.0,global,30.199754311262772,0.04237250005826354,8400.0,40,0.0
4,non-cooperative,0.0,non-coop,18.513305041955736,0.029268375132232904,0.0,40,11.686449269307037
4,localized-rho1,1.0,rho=1,24.633647962714353,0.03620216669514775,4800.0,40,5.56610634854842
4,localized-rho2,2.0,rho=2,30.199754311262787,0.042167000006884336,8400.0,40,-1.4210854715202004e-14
4,localized-rho3,3.0,rho=3,30.199754311262772,0.04229412507265806,8400.0,40,0.0
5,global,-1.0,global,30.493194637286017,0.04279241617769003,8400.0,40,0.0
5,non-cooperative,0.0,non-coop,17.409210015037406,0.02901633270084858,0.0,40,13.083984622248611
5,localized-rho1,1.0,rho=1,24.914567458643504,0.03611366683617234,4800.0,40,5.578627178642513
5,localized-rho2,2.0,rho=2,30.493194637286024,0.04278350016102195,8400.0,40,-7.105427357601002e-15
5,localized-rho3,3.0,rho=3,30.493194637286017,0.042545541655272245,8400.0,40,0.0
6,global,-1.0,global,30.080776397132354,0.04193470813333988,8400.0,40,0.0
6,non-cooperative,0.0,non-coop,17.8995383998952,0.02876737480983138,0.0,40,12.181237997237155
6,localized-rho1,1.0,rho=1,24.998515932761244,0.03692587511613965,4800.0,40,5.08226046437111
6,localized-rho2,2.0,rho=2,30.080776397132333,0.04262650012969971,8400.0,40,2.1316282072803006e-14
6,localized-rho3,3.0,rho=3,30.080776397132354,0.04248254233971238,8400.0,40,0.0
7,global,-1.0,global,31.04386336440802,0.042122707702219486,8400.0,40,0.0
7,non-cooperative,0.0,non-coop,19.977406420065556,0.028770499862730503,0.0,40,11.066456944342463
7,localized-rho1,1.0,rho=1,27.101679288972665,0.036588957998901606,4800.0,40,3.942184075435353
7,localized-rho2,2.0,rho=2,31.04386336440801,0.04255020897835493,8400.0,40,7.105427357601002e-15
7,localized-rho3,3.0,rho=3,31.04386336440802,0.0428265412338078,8400.0,40,0.0
